big_category	count	percentage	Type	pipeline	n	record_type	figure_id	panel_id	mean_perc	sd_perc	test_method	p_value	ci_lower	ci_upper	mean_diff_tusco_minus_sirvs	direction	t_statistic	df	p_value_stars
TP	75	87.20930232558139	SIRVs	WTC11_drna_ont	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTP	0	0	SIRVs	WTC11_drna_ont	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FP	2	2.3255813953488373	SIRVs	WTC11_drna_ont	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FN	9	10.465116279069768	SIRVs	WTC11_drna_ont	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TP	34	73.91304347826087	TUSCO	WTC11_drna_ont	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTP	3	6.521739130434782	TUSCO	WTC11_drna_ont	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FP	0	0	TUSCO	WTC11_drna_ont	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FN	9	19.565217391304348	TUSCO	WTC11_drna_ont	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TP	76	69.72477064220183	SIRVs	WTC11_cdna_ont	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTP	5	4.587155963302752	SIRVs	WTC11_cdna_ont	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FP	24	22.01834862385321	SIRVs	WTC11_cdna_ont	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FN	4	3.669724770642202	SIRVs	WTC11_cdna_ont	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TP	22	37.93103448275862	TUSCO	WTC11_cdna_ont	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTP	23	39.6551724137931	TUSCO	WTC11_cdna_ont	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FP	0	0	TUSCO	WTC11_cdna_ont	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FN	13	22.413793103448278	TUSCO	WTC11_cdna_ont	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TP	84	100	SIRVs	WTC11_cdna_pacbio	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTP	0	0	SIRVs	WTC11_cdna_pacbio	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FP	0	0	SIRVs	WTC11_cdna_pacbio	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FN	0	0	SIRVs	WTC11_cdna_pacbio	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TP	43	86	TUSCO	WTC11_cdna_pacbio	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTP	1	2	TUSCO	WTC11_cdna_pacbio	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FP	0	0	TUSCO	WTC11_cdna_pacbio	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FN	6	12	TUSCO	WTC11_cdna_pacbio	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TP	75	87.20930232558139	SIRVs	WTC11_drna_ont_ls	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTP	0	0	SIRVs	WTC11_drna_ont_ls	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FP	2	2.3255813953488373	SIRVs	WTC11_drna_ont_ls	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FN	9	10.465116279069768	SIRVs	WTC11_drna_ont_ls	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TP	38	77.55102040816327	TUSCO	WTC11_drna_ont_ls	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTP	3	6.122448979591836	TUSCO	WTC11_drna_ont_ls	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FP	0	0	TUSCO	WTC11_drna_ont_ls	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FN	8	16.3265306122449	TUSCO	WTC11_drna_ont_ls	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TP	76	69.72477064220183	SIRVs	WTC11_cdna_ont_ls	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTP	5	4.587155963302752	SIRVs	WTC11_cdna_ont_ls	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FP	24	22.01834862385321	SIRVs	WTC11_cdna_ont_ls	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FN	4	3.669724770642202	SIRVs	WTC11_cdna_ont_ls	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TP	22	37.93103448275862	TUSCO	WTC11_cdna_ont_ls	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTP	23	39.6551724137931	TUSCO	WTC11_cdna_ont_ls	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FP	0	0	TUSCO	WTC11_cdna_ont_ls	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FN	13	22.413793103448278	TUSCO	WTC11_cdna_ont_ls	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TP	84	98.82352941176471	SIRVs	WTC11_cdna_pacbio_ls	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTP	0	0	SIRVs	WTC11_cdna_pacbio_ls	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FP	1	1.1764705882352942	SIRVs	WTC11_cdna_pacbio_ls	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FN	0	0	SIRVs	WTC11_cdna_pacbio_ls	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TP	43	86	TUSCO	WTC11_cdna_pacbio_ls	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTP	1	2	TUSCO	WTC11_cdna_pacbio_ls	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FP	0	0	TUSCO	WTC11_cdna_pacbio_ls	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FN	6	12	TUSCO	WTC11_cdna_pacbio_ls	6	raw	fig-3	3b-human	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FN	NA	NA	SIRVs	NA	NA	summary	fig-3	3b-human	4.711613683237323	4.749215856391811	NA	NA	NA	NA	NA	NA	NA	NA	NA
FN	NA	NA	TUSCO	NA	NA	summary	fig-3	3b-human	17.453222368407634	4.783717168132574	NA	NA	NA	NA	NA	NA	NA	NA	NA
FP	NA	NA	SIRVs	NA	NA	summary	fig-3	3b-human	8.310721771106564	10.652769731862012	NA	NA	NA	NA	NA	NA	NA	NA	NA
FP	NA	NA	TUSCO	NA	NA	summary	fig-3	3b-human	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTP	NA	NA	SIRVs	NA	NA	summary	fig-3	3b-human	1.529051987767584	2.3687971536436803	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTP	NA	NA	TUSCO	NA	NA	summary	fig-3	3b-human	15.992422156268805	18.43115548511574	NA	NA	NA	NA	NA	NA	NA	NA	NA
TP	NA	NA	SIRVs	NA	NA	summary	fig-3	3b-human	85.44861255788852	13.351477397154735	NA	NA	NA	NA	NA	NA	NA	NA	NA
TP	NA	NA	TUSCO	NA	NA	summary	fig-3	3b-human	66.55435547532356	22.671268689761035	NA	NA	NA	NA	NA	NA	NA	NA	NA
TP	NA	NA	NA	NA	NA	stat	fig-3	3b-human	NA	NA	perm	0.046153846153846156	NA	NA	-18.894257082564963	SIRVs>TUSCO	NA	NA	*
PTP	NA	NA	NA	NA	NA	stat	fig-3	3b-human	NA	NA	perm	0.046153846153846156	NA	NA	14.463370168501218	TUSCO>SIRVs	NA	NA	*
FP	NA	NA	NA	NA	NA	stat	fig-3	3b-human	NA	NA	perm	0.07692307692307693	NA	NA	-8.310721771106564	SIRVs>TUSCO	NA	NA	ns
FN	NA	NA	NA	NA	NA	stat	fig-3	3b-human	NA	NA	perm	0.046153846153846156	NA	NA	12.741608685170311	TUSCO>SIRVs	NA	NA	*
