RIN	TP	PTP	FP	FN	Group	Dataset	TP_TPPTP	figure_id	panel_id
7.7	15	15	1	18	TS10	TUSCO	0.5	fig-3	3c
7.7	15	54	1	5	TS10	TUSCO	0.21739130434782608	fig-3	3c
8.4	20	32	3	5	TS10	TUSCO	0.38461538461538464	fig-3	3c
9.3	23	28	2	4	TS10	TUSCO	0.45098039215686275	fig-3	3c
9.6	26	16	2	7	TS10	TUSCO	0.6190476190476191	fig-3	3c
9.8	22	12	0	14	TS10	TUSCO	0.6470588235294118	fig-3	3c
8.7	21	27	1	5	TS11	TUSCO	0.4375	fig-3	3c
8.8	22	27	0	7	TS11	TUSCO	0.4489795918367347	fig-3	3c
8.9	16	31	3	8	TS11	TUSCO	0.3404255319148936	fig-3	3c
9.3	22	25	0	8	TS11	TUSCO	0.46808510638297873	fig-3	3c
9.6	29	17	0	6	TS11	TUSCO	0.6304347826086957	fig-3	3c
9.7	29	17	1	7	TS11	TUSCO	0.6304347826086957	fig-3	3c
9.7	25	30	1	2	TS11	TUSCO	0.45454545454545453	fig-3	3c
7.2	11	32	3	10	TS12	TUSCO	0.2558139534883721	fig-3	3c
7.3	9	31	0	11	TS12	TUSCO	0.225	fig-3	3c
8.2	17	28	1	8	TS12	TUSCO	0.37777777777777777	fig-3	3c
8.2	19	42	1	4	TS12	TUSCO	0.3114754098360656	fig-3	3c
9.9	26	26	6	5	TS12	TUSCO	0.5	fig-3	3c
7.7	22	1	2	137	TS10	Sequin	0.9565217391304348	fig-3	3c
7.7	45	4	4	111	TS10	Sequin	0.9183673469387755	fig-3	3c
8.4	32	1	4	127	TS10	Sequin	0.9696969696969697	fig-3	3c
9.3	34	3	4	123	TS10	Sequin	0.918918918918919	fig-3	3c
9.6	31	2	4	127	TS10	Sequin	0.9393939393939394	fig-3	3c
9.8	29	0	2	131	TS10	Sequin	1	fig-3	3c
8.7	34	6	0	120	TS11	Sequin	0.85	fig-3	3c
8.8	38	5	4	117	TS11	Sequin	0.8837209302325582	fig-3	3c
8.9	30	3	1	127	TS11	Sequin	0.9090909090909091	fig-3	3c
9.3	31	1	3	128	TS11	Sequin	0.96875	fig-3	3c
9.6	26	1	0	133	TS11	Sequin	0.9629629629629629	fig-3	3c
9.7	32	2	3	126	TS11	Sequin	0.9411764705882353	fig-3	3c
9.7	40	7	6	113	TS11	Sequin	0.851063829787234	fig-3	3c
7.2	27	3	1	130	TS12	Sequin	0.9	fig-3	3c
7.3	27	2	0	131	TS12	Sequin	0.9310344827586207	fig-3	3c
8.2	32	4	2	124	TS12	Sequin	0.8888888888888888	fig-3	3c
8.2	38	7	6	115	TS12	Sequin	0.8444444444444444	fig-3	3c
9.9	44	8	6	108	TS12	Sequin	0.8461538461538461	fig-3	3c
7.7	1875	2241	0	15612	TS10	MANE	0.4555393586005831	fig-3	3c
7.7	4221	6626	0	11418	TS10	MANE	0.38913985433760484	fig-3	3c
8.4	3925	3254	0	13230	TS10	MANE	0.5467335283465664	fig-3	3c
9.3	3991	3537	0	13033	TS10	MANE	0.530154091392136	fig-3	3c
9.6	3999	2624	0	13572	TS10	MANE	0.6038049222406764	fig-3	3c
9.8	2711	1825	0	15197	TS10	MANE	0.597663139329806	fig-3	3c
8.7	3059	4245	0	13387	TS11	MANE	0.41881161007667034	fig-3	3c
8.8	3512	3611	0	13349	TS11	MANE	0.49305068089288223	fig-3	3c
8.9	3147	4858	0	12978	TS11	MANE	0.3931292941911305	fig-3	3c
9.3	3906	3227	0	13231	TS11	MANE	0.5475956820412169	fig-3	3c
9.6	4676	2360	0	13120	TS11	MANE	0.6645821489482661	fig-3	3c
9.7	4701	2332	0	13116	TS11	MANE	0.6684203042798237	fig-3	3c
9.7	6298	4366	0	10656	TS11	MANE	0.5905851462865717	fig-3	3c
7.2	2345	4529	0	13658	TS12	MANE	0.3411405295315682	fig-3	3c
7.3	1886	3973	0	14332	TS12	MANE	0.32189793480116063	fig-3	3c
8.2	3171	3963	0	13382	TS12	MANE	0.44449116904962155	fig-3	3c
8.2	4895	6171	0	11109	TS12	MANE	0.4423459244532803	fig-3	3c
9.9	6742	4524	0	10329	TS12	MANE	0.5984377773832771	fig-3	3c
