Tissue	Samples	Metric	N	Mean	SD	SE	CI_lower	CI_upper	SamplesLabel
Brain	1	Sensitivity	5	73.125	4.47431908227386	2.000976324197765	67.56939907906444	78.68060092093556	1
Brain	1	Non-redundant Precision	5	64.27671232876712	3.5962969417385566	1.6083128858004025	59.81131988936005	68.74210476817419	1
Brain	1	Inv. Redundancy	5	78.76620848327532	1.5125591594417616	0.6764370201003443	76.88811822984314	80.6442987367075	1
Brain	1	1 - FDR	5	64.27671232876712	3.5962969417385566	1.6083128858004025	59.81131988936005	68.74210476817419	1
Brain	1	PDR	5	83.4375	2.3696485762661097	1.0597390598633232	80.49519267445557	86.37980732554443	1
Brain	1	F1	5	68.41158245580435	3.9496522990691347	1.7663382056413828	63.50744139062748	73.31572352098122	1
Brain	2	Sensitivity	10	71.875	1.473139127471974	0.4658474953124562	70.82117975170732	72.92882024829268	2
Brain	2	Non-redundant Precision	10	88.63428099832096	1.6646879780247572	0.5264205604058559	87.4434349569546	89.82512703968732	2
Brain	2	Inv. Redundancy	10	100	0	0	100	100	2
Brain	2	1 - FDR	10	88.63428099832095	1.6646879780247579	0.5264205604058562	87.44343495695459	89.8251270396873	2
Brain	2	PDR	10	77.5	1.092509216843908	0.34548174899535417	76.7184659868941	78.2815340131059	2
Brain	2	F1	10	79.37754199823166	1.502199764841755	0.47503727574692745	78.3029330223046	80.45215097415873	2
Brain	3	Sensitivity	10	74.375	1.3176156917368247	0.41666666666666663	73.43243451550074	75.31756548449926	3
Brain	3	Non-redundant Precision	10	88.64430468204054	1.5943876038805154	0.5041896301400745	87.5037484988106	89.78486086527049	3
Brain	3	Inv. Redundancy	10	100	0	0	100	100	3
Brain	3	1 - FDR	10	88.64430468204053	1.5943876038805094	0.5041896301400726	87.50374849881058	89.78486086527047	3
Brain	3	PDR	10	79.6875	1.0416666666666667	0.3294039229342062	78.94233655628055	80.43266344371945	3
Brain	3	F1	10	80.8836737650297	1.3962751939387976	0.44154098532399305	79.88483866241005	81.88250886764935	3
Brain	4	Sensitivity	5	75.625	1.3975424859373686	0.625	73.88972180925138	77.36027819074862	4
Brain	4	Non-redundant Precision	5	88.63973063973064	0.9001933961185735	0.40257872532350514	87.52199290834943	89.75746837111186	4
Brain	4	Inv. Redundancy	5	100	0	0	100	100	4
Brain	4	1 - FDR	5	88.63973063973064	0.9001933961185735	0.40257872532350514	87.52199290834943	89.75746837111186	4
Brain	4	PDR	5	80.625	0.8558164961018221	0.38273277230987157	79.56236346772148	81.68763653227852	4
Brain	4	F1	5	81.61515453639083	1.174610287140434	0.5253016898233115	80.15668323092876	83.0736258418529	4
Brain	5	Sensitivity	1	76.5625	NA	NA	NA	NA	5
Brain	5	Non-redundant Precision	1	89.0909090909091	NA	NA	NA	NA	5
Brain	5	Inv. Redundancy	1	100	NA	NA	NA	NA	5
Brain	5	1 - FDR	1	89.0909090909091	NA	NA	NA	NA	5
Brain	5	PDR	1	81.25	NA	NA	NA	NA	5
Brain	5	F1	1	82.3529411764706	NA	NA	NA	NA	5
Kidney	1	Sensitivity	5	67.11111111111111	4.817662975261955	2.154524381073924	61.12919243924911	73.09302978297312	1
Kidney	1	Non-redundant Precision	5	62.7293633980564	3.012337176416474	1.3471581395234022	58.989052775649284	66.46967402046351	1
Kidney	1	Inv. Redundancy	5	80.90873015873017	2.8973825295949003	1.2957488585988985	77.31115458270763	84.5063057347527	1
Kidney	1	1 - FDR	5	62.72936339805641	3.0123371764164775	1.347158139523404	58.989052775649284	66.46967402046353	1
Kidney	1	PDR	5	78.66666666666667	3.7184890068181105	1.6629588385661946	74.04955273918415	83.28378059414919	1
Kidney	1	F1	5	64.77350708805147	3.123226234123505	1.3967492337221659	60.8955095148948	68.65150466120815	1
Kidney	2	Sensitivity	10	66.22222222222221	3.747884634273633	1.1851851851851847	63.54114706631323	68.9032973781312	2
Kidney	2	Non-redundant Precision	10	85.85084320378438	2.6644134619691804	0.8425615168237031	83.94483663340353	87.75684977416523	2
Kidney	2	Inv. Redundancy	10	100	0	0	100	100	2
Kidney	2	1 - FDR	10	85.85084320378438	2.66441346196918	0.842561516823703	83.94483663340353	87.75684977416523	2
Kidney	2	PDR	10	72.88888888888889	2.5228720542113203	0.7978021936495566	71.08413494202843	74.69364283574934	2
Kidney	2	F1	10	74.74495897723232	3.2055645353824054	1.013688511846781	72.45183624931187	77.03808170515276	2
Kidney	3	Sensitivity	10	70.88888888888889	1.9457667461575845	0.6153054713272647	69.49697120961699	72.28080656816078	3
Kidney	3	Non-redundant Precision	10	84.61155487471277	1.1330009632291467	0.3582863634968786	83.80105481119539	85.42205493823015	3
Kidney	3	Inv. Redundancy	10	100	0	0	100	100	3
Kidney	3	1 - FDR	10	84.61155487471277	1.1330009632291471	0.3582863634968787	83.80105481119539	85.42205493823015	3
Kidney	3	PDR	10	77.77777777777779	1.481481481481481	0.46848557928420415	76.71798976893236	78.83756578662322	3
Kidney	3	F1	10	77.1365601779942	1.488755835361495	0.4707859319608969	76.07156840986423	78.20155194612417	3
Kidney	4	Sensitivity	5	72	1.9876159799998117	0.8888888888888882	69.53204879537974	74.46795120462026	4
Kidney	4	Non-redundant Precision	5	83.92712550607287	1.3243260918053519	0.5922566331306788	82.28275747599628	85.57149353614946	4
Kidney	4	Inv. Redundancy	5	100	0	0	100	100	4
Kidney	4	1 - FDR	5	83.92712550607287	1.3243260918053528	0.5922566331306791	82.28275747599626	85.57149353614948	4
Kidney	4	PDR	5	79.11111111111111	1.2171612389003648	0.5443310539518154	77.59980582075944	80.62241640146279	4
Kidney	4	F1	5	77.50430292598966	1.6914385559808582	0.7564343181874564	75.40410456585447	79.60450128612486	4
Kidney	5	Sensitivity	1	73.33333333333333	NA	NA	NA	NA	5
Kidney	5	Non-redundant Precision	1	84.61538461538461	NA	NA	NA	NA	5
Kidney	5	Inv. Redundancy	1	100	NA	NA	NA	NA	5
Kidney	5	1 - FDR	1	84.61538461538461	NA	NA	NA	NA	5
Kidney	5	PDR	1	80	NA	NA	NA	NA	5
Kidney	5	F1	1	78.57142857142856	NA	NA	NA	NA	5
