Anatomical_Entity_Name	Number_of_TUSCO_Genes
multicellular organism	461
intestine	245
zone of skin	210
lip	191
cerebral cortex	187
islet of Langerhans	184
esophagus	182
ileum	177
jejunum	176
cortex of kidney	172
adult mammalian kidney	171
embryonic facial prominence	168
embryo	167
uterus	167
spermatid	158
hypothalamus	157
neural tube	152
thymus	152
right kidney	150
Ammon's horn	147
superior frontal gyrus	143
muscle tissue	137
spermatocyte	136
hindlimb stylopod muscle	135
ectoplacental cone	133
primary visual cortex	130
white adipose tissue	128
embryonic brain	126
telencephalon	122
proximal tubule	122
colon	119
cerebellar cortex	116
spleen	115
skeletal muscle tissue	114
lens of camera-type eye	113
forelimb bud	112
duodenum	110
striatum	106
hindlimb bud	106
dentate gyrus of hippocampal formation granule cell	104
animal zygote	100
granulocyte	98
pituitary gland	98
submandibular gland	98
undifferentiated genital tubercle	97
quadriceps femoris	96
lung	96
yolk sac	93
bone element	91
aorta	90
olfactory epithelium	88
embryonic post-anal tail	88
retina	87
epiblast (generic)	87
testis	86
stomach	85
retinal neural layer	85
late embryo	83
primary oocyte	81
ganglionic eminence	79
ventricular zone	76
secondary oocyte	74
kidney	74
hindbrain	73
urinary bladder	72
triceps brachii	72
limb	72
brain	70
placenta	70
adrenal gland	70
cerebellum	69
heart left ventricle	69
ovary	68
central nervous system	68
midbrain	68
brain blood vessel	67
frontal cortex	66
forebrain	66
heart	65
small intestine	62
large intestine	61
adipose tissue	55
liver	55
pineal body	54
cortical plate	54
soleus muscle	50
mandibular prominence	50
pancreas	49
subcutaneous adipose tissue	49
maxillary prominence	48
tibialis anterior	45
heart right ventricle	34
gastrocnemius	31
thoracic mammary gland	28
olfactory bulb	22
brown adipose tissue	21
bone marrow	20
gonadal fat pad	16
thyroid gland	5
vomeronasal organ	3
cortical layer V	1
granular layer of cerebellar cortex	1
left cardiac atrium	1
right cardiac atrium	1
