species	sample	label	ref_len_bin	n	mean	sd	median	q1	q3	iqr
human	wtc11_cdna_pacbio	PTP	3-5kb	258	0.854585344050065	0.301614305953455	0.990277335033472	0.87338668043366	0.993863563914568	0.120476883480908
human	wtc11_cdna_pacbio	TP	3-5kb	980	0.804133516138155	0.305126572540369	0.994520547945205	0.622672064777328	1.00080971659919	0.378137651821862
mouse	es_cdna_pacbio	TP	1-2kb	763	0.981764070103204	0.0511826168662866	0.987817258883249	0.97005076142132	1.008069522036	0.0380187606146827
human	wtc11_cdna_pacbio	PTP	2-3kb	8	1.24819225861336	0.00622234744292969	1.24989366227137	1.24691620586984	1.25116971501489	0.00425350914504463
human	wtc11_cdna_pacbio	TP	<=1kb	1694	0.957178374162459	0.0825048242318528	0.970790378006873	0.938317727545004	0.994845360824742	0.0565276332797378
mouse	es_cdna_pacbio	PTP	1-2kb	1355	0.617871467534479	0.266227969969364	0.534728829686013	0.516650808753568	0.559467174119886	0.0428163653663177
mouse	es_cdna_pacbio	PTP	2-3kb	1108	0.910201398860109	0.0722370532879871	0.920621587568249	0.915161696766065	0.92860142797144	0.0134397312053759
human	wtc11_cdna_pacbio	PTP	>5kb	1118	0.769102805349284	0.324356661912191	0.986424571525539	0.449575567447869	1.00073814356892	0.551162576121056
mouse	es_cdna_pacbio	PTP	3-5kb	58	0.594274776714235	0.3617519443538	0.383731478681585	0.378893256728152	0.958707360861759	0.579814104133607
mouse	es_cdna_pacbio	TP	>5kb	312	0.884325320933767	0.209535049962115	0.998425196850394	0.838404458073462	1.00196850393701	0.163564045863546
human	wtc11_cdna_pacbio	PTP	1-2kb	32	1.05273005778355	0.585386030883417	1.34076560896468	0.951859398879266	1.4447138700291	0.492854471149831
human	wtc11_cdna_pacbio	TP	2-3kb	488	1.00226447963813	0.0174914897898827	1.00138360428917	0.992390176409547	1.01145766472999	0.0190674883204438
human	wtc11_cdna_pacbio	TP	1-2kb	44	0.9990135963743	0.00223702493622807	0.998533724340176	0.997653958944282	0.998826979472141	0.00117302052785917
mouse	es_cdna_pacbio	PTP	>5kb	22	0.689767715103647	0.147849808313458	0.811775566724792	0.562570520053339	0.820904708175197	0.258334188121859
mouse	es_cdna_pacbio	TP	3-5kb	3474	0.970719403002446	0.0805659102152902	0.987190435525192	0.978081411898662	0.995160831198406	0.0170794192997438
human	wtc11_cdna_pacbio	TP	>5kb	6	0.996649916247906	0.00248542174668534	0.995279427440232	0.994936805238313	0.998705649459419	0.00376884422110568
mouse	es_cdna_pacbio	PTP	<=1kb	12	2.98596256684492	0.0223524236239055	2.98328877005348	2.97860962566845	2.98663101604278	0.00802139037433181
