pipeline	eval_type	sample	species	label	metric	n	mean	sd	median	q1	q3	iqr
bambu_sq3	novel_evl	es_cdna_pacbio	mouse	PTP	isoform_cov	4	0.774048496947692	0.197451549086446	0.793443413291774	0.634677256493803	0.932814653745663	0.29813739725186
bambu_sq3	novel_evl	es_cdna_pacbio	mouse	TP	isoform_cov	19	0.906975247674969	0.209140503251129	0.995383727639931	0.981341886440546	1.00111532455945	0.0197734381189005
bambu_sq3	novel_evl	es_cdna_pacbio	mouse	TP+PTP	isoform_cov	23	0.883857551896312	0.209182726560836	0.991353508480213	0.926499018915521	0.999409448818898	0.0729104299033769
isoseq_sq3	novel_evl	es_cdna_pacbio	mouse	PTP	isoform_cov	9	1.253610503213	0.763308118419025	1.05963880722386	0.838170347003155	1.21760221760222	0.379431870599063
isoseq_sq3	novel_evl	es_cdna_pacbio	mouse	TP	isoform_cov	11	0.993311661962831	0.0138743546920676	0.995730145175064	0.989926886335616	0.999369526184429	0.00944263984881322
isoseq_sq3	novel_evl	es_cdna_pacbio	mouse	TP+PTP	isoform_cov	20	1.11044614052541	0.512908574277463	0.996623607658916	0.977364660122148	1.02312887988816	0.0457642197660077
bambu_sq3	novel_evl	wtc11_cdna_pacbio	human	PTP	isoform_cov	1	1.02941176470588		1.02941176470588	1.02941176470588	1.02941176470588	0
bambu_sq3	novel_evl	wtc11_cdna_pacbio	human	TP	isoform_cov	17	0.866658879596995	0.304320099223841	0.999086757990868	0.978833561748135	1.0022060071271	0.0233724453789653
bambu_sq3	novel_evl	wtc11_cdna_pacbio	human	TP+PTP	isoform_cov	18	0.875700706547489	0.297715664079805	0.999543378995434	0.982836511517286	1.00345794208441	0.0206214305671273
isoseq_sq3	novel_evl	wtc11_cdna_pacbio	human	PTP	isoform_cov	9	1.04067757797391	0.478395298668687	1.25216505348956	0.998642457152554	1.42812142038946	0.429478963236908
isoseq_sq3	novel_evl	wtc11_cdna_pacbio	human	TP	isoform_cov	10	0.997161793924833	0.0122273586179541	0.997880736506685	0.99606905495218	0.999278719241762	0.00320966428958225
isoseq_sq3	novel_evl	wtc11_cdna_pacbio	human	TP+PTP	isoform_cov	19	1.01777453373755	0.319827372216366	0.99919028340081	0.996401852861571	1.13588644831341	0.139484595451835
bambu_sq3	ref_evl	es_cdna_pacbio	mouse	TP	isoform_cov	25	1	0	1	1	1	0
bambu_sq3	ref_evl	es_cdna_pacbio	mouse	TP+PTP	isoform_cov	25	1	0	1	1	1	0
isoseq_sq3	ref_evl	es_cdna_pacbio	mouse	PTP	isoform_cov	11	1.09949376293441	0.769984778638061	0.958931777378815	0.720889570854519	1.16716492655967	0.446275355705153
isoseq_sq3	ref_evl	es_cdna_pacbio	mouse	TP	isoform_cov	13	0.993641888789091	0.0127447524635541	0.995730145175064	0.990006056935191	0.998962117280747	0.00895606034555641
isoseq_sq3	ref_evl	es_cdna_pacbio	mouse	TP+PTP	isoform_cov	24	1.0421573311057	0.510646461311625	0.994163653710296	0.95927265553604	1.0093834268148	0.0501107712787592
bambu_sq3	ref_evl	wtc11_cdna_pacbio	human	TP	isoform_cov	23	1	0	1	1	1	0
bambu_sq3	ref_evl	wtc11_cdna_pacbio	human	TP+PTP	isoform_cov	23	1	0	1	1	1	0
isoseq_sq3	ref_evl	wtc11_cdna_pacbio	human	PTP	isoform_cov	11	1.03786071260293	0.428991506969254	1.09244501115716	0.978283541431207	1.34017725634531	0.361893714914098
isoseq_sq3	ref_evl	wtc11_cdna_pacbio	human	TP	isoform_cov	10	0.997161793924833	0.0122273586179541	0.997880736506685	0.99606905495218	0.999278719241762	0.00320966428958225
isoseq_sq3	ref_evl	wtc11_cdna_pacbio	human	TP+PTP	isoform_cov	21	1.01848027513717	0.3041676426363	0.99919028340081	0.99573625704279	1.09244501115716	0.0967087541143668
