ensembl_gene	ensembl_transcript	symbol	entrez_id	genename	refseq_mrna	refseq_protein
ENSG00000168792	ENST00000307201	ABHD15	116236	abhydrolase domain containing 15	NM_198147	NP_937790
ENSG00000176020	ENST00000320431	AMIGO3	386724	adhesion molecule with Ig like domain 3	NM_198722	NP_942015
ENSG00000176022	ENST00000379198	B3GALT6	126792	beta-1,3-galactosyltransferase 6	NM_080605	NP_542172
ENSG00000186222	ENST00000320776	BLOC1S4	55330	biogenesis of lysosomal organelles complex 1 subunit 4	NM_018366	NP_060836
ENSG00000162817	ENST00000294889	C1orf115	79762	chromosome 1 open reading frame 115	NM_024709	NP_078985
ENSG00000221821	ENST00000408925	C6orf226	441150	peroxisomal biogenesis factor 39	NM_001008739	NP_001008739
ENSG00000204439	ENST00000375911	C6orf47	57827	chromosome 6 open reading frame 47	NM_021184	NP_067007
ENSG00000135045	ENST00000376854	C9orf40	55071	chromosome 9 open reading frame 40	NM_017998	NP_060468
ENSG00000175602	ENST00000312579	CCDC85B	11007	coiled-coil domain containing 85B	NM_006848	NP_006839
ENSG00000182810	ENST00000332395	DDX28	55794	DEAD-box helicase 28	NM_018380	NP_060850
ENSG00000255423	ENST00000533473	EBLN2	55096	endogenous Bornavirus like nucleoprotein 2	NM_018029	NP_060499
ENSG00000120738	ENST00000239938	EGR1	1958	early growth response 1	NM_001964	NP_001955
ENSG00000176396	ENST00000390658	EID2	163126	EP300 interacting inhibitor of differentiation 2	NM_153232	NP_694964
ENSG00000223496	ENST00000435634	EXOSC6	118460	exosome component 6	NM_058219	NP_478126
ENSG00000127920	ENST00000248564	GNG11	2791	G protein subunit gamma 11	NM_004126	NP_004117
ENSG00000183598	ENST00000331491	H3C13	653604	H3 clustered histone 13	NM_001123375	NP_001116847
ENSG00000146066	ENST00000274787	HIGD2A	192286	HIG1 hypoxia inducible domain family member 2A	NM_138820	NP_620175
ENSG00000182700	ENST00000333305	IGIP	492311	IgA inducing protein	NM_001007189	NP_001007190
ENSG00000185085	ENST00000330574	INTS5	80789	integrator complex subunit 5	NM_030628	NP_085131
ENSG00000170604	ENST00000302165	IRF2BP1	26145	interferon regulatory factor 2 binding protein 1	NM_015649	NP_056464
ENSG00000165572	ENST00000379485	KBTBD6	89890	kelch repeat and BTB domain containing 6	NM_152903	NP_690867
ENSG00000105617	ENST00000222224	LENG1	79165	leukocyte receptor cluster member 1	NM_024316	NP_077292
ENSG00000155858	ENST00000286307	LSM11	134353	LSM11, U7 small nuclear RNA associated	NM_173491	NP_775762
ENSG00000247626	ENST00000282276	MARS2	92935	methionyl-tRNA synthetase 2, mitochondrial	NM_138395	NP_612404
ENSG00000182154	ENST00000371443	MRPL41	64975	mitochondrial ribosomal protein L41	NM_032477	NP_115866
ENSG00000136897	ENST00000374865	MRPL50	54534	mitochondrial ribosomal protein L50	NM_019051	NP_061924
ENSG00000270170	ENST00000602845	NCBP2AS2	152217	NCBP2 antisense 2 (head to head)	NM_001355243	NP_001342172
ENSG00000182636	ENST00000649030	NDN	4692	necdin, MAGE family member	NM_002487	NP_002478
ENSG00000196368	ENST00000375992	NUDT11	55190	nudix hydrolase 11	NM_018159	NP_060629
ENSG00000262664	ENST00000572195	OVCA2	124641	OVCA2 serine hydrolase domain containing	NM_080822	NP_543012
ENSG00000280789	ENST00000320330	PAGR1	79447	PAXIP1 associated glutamate rich protein 1	NM_024516	NP_078792
ENSG00000213402	ENST00000326294	PTPRCAP	5790	protein tyrosine phosphatase receptor type C associated protein	NM_005608	NP_005599
ENSG00000173456	ENST00000311413	RNF26	79102	ring finger protein 26	NM_032015	NP_114404
ENSG00000188636	ENST00000341255	RTL6	84247	retrotransposon Gag like 6	NM_032287	NP_115663
ENSG00000205138	ENST00000378887	SDHAF1	644096	succinate dehydrogenase complex assembly factor 1	NM_001042631	NP_001036096
ENSG00000179918	ENST00000478753	SEPHS2	22928	selenophosphate synthetase 2	NM_012248	NP_036380
ENSG00000169976	ENST00000367569	SF3B5	83443	splicing factor 3b subunit 5	NM_031287	NP_112577
ENSG00000170385	ENST00000367001	SLC30A1	7779	solute carrier family 30 member 1	NM_021194	NP_067017
ENSG00000124216	ENST00000244050	SNAI1	6615	snail family transcriptional repressor 1	NM_005985	NP_005976
ENSG00000198142	ENST00000356454	SOWAHC	65124	sosondowah ankyrin repeat domain family member C	NM_023016	NP_075392
ENSG00000176422	ENST00000338146	SPRYD4	283377	SPRY domain containing 4	NM_207344	NP_997227
ENSG00000118804	ENST00000237642	STBD1	8987	starch binding domain 1	NM_003943	NP_003934
ENSG00000179886	ENST00000504548	TIGD5	84948	tigger transposable element derived 5	NM_032862	NP_116251
ENSG00000170027	ENST00000307630	YWHAG	7532	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma	NM_012479	NP_036611
ENSG00000204366	ENST00000375527	ZBTB12	221527	zinc finger and BTB domain containing 12	NM_181842	NP_862825
ENSG00000183779	ENST00000331569	ZNF703	80139	zinc finger protein 703	NM_025069	NP_079345
