eval_type	sample	species	label	metric	n	mean	sd	median	q1	q3	iqr
novel_evl	wtc11_cdna_pacbio	human	PTP	per_read_cov	612	0.771814646072532	0.347788577768564	0.98659426438147	0.402638723909723	1.00112737401292	0.598488650103195
ref_evl	wtc11_cdna_pacbio	human	PTP	per_read_cov	804	0.810525238391799	0.320581600118627	0.989808799913406	0.65179025963007	0.999819174866844	0.348028915236775
novel_evl	wtc11_cdna_pacbio	human	TP	per_read_cov	1606	0.917980253875454	0.194886382325894	0.987972508591065	0.941580756013746	1	0.0584192439862543
ref_evl	wtc11_cdna_pacbio	human	TP	per_read_cov	1606	0.917980253875454	0.194886382325894	0.987972508591065	0.941580756013746	1	0.0584192439862543
ref_evl	es_cdna_pacbio	mouse	TP	per_read_cov	2299	0.964241671110348	0.100049703796273	0.987475092513521	0.977227440933675	0.998019448572344	0.0207920076386694
novel_evl	es_cdna_pacbio	mouse	TP	per_read_cov	2250	0.969103595452395	0.0882365759500317	0.987698986975398	0.977512097922004	0.998111225971055	0.0205991280490513
ref_evl	es_cdna_pacbio	mouse	PTP	per_read_cov	1869	0.683341339217699	0.26906616515271	0.549000951474786	0.519505233111323	0.916841663166737	0.397336430055414
novel_evl	es_cdna_pacbio	mouse	PTP	per_read_cov	686	0.953394173516303	0.273714465840651	0.922721545569089	0.915161696766065	0.933221335573289	0.0180596388072239
novel_evl	wtc11_cdna_pacbio	human	TP+PTP	per_read_cov	2218	0.877649617276992	0.255150801726376	0.987887623553575	0.927835051546392	1.00072330053262	0.0728882489862321
ref_evl	wtc11_cdna_pacbio	human	TP+PTP	per_read_cov	2410	0.882132190618666	0.249259420579769	0.988121500084846	0.927835051546392	1	0.0721649484536082
ref_evl	es_cdna_pacbio	mouse	TP+PTP	per_read_cov	4168	0.838281325547162	0.239782126001527	0.958595557687197	0.553758325404377	0.990037005408483	0.436278680004106
novel_evl	es_cdna_pacbio	mouse	TP+PTP	per_read_cov	2936	0.965433069754793	0.15328286695308	0.982208938229433	0.932381352372952	0.994888095124563	0.0625067427516102
